year,race,education,age,population,mortality
2001,White,Less than H.S.,47,163117,0.009934432987832673
2001,White,Less than H.S.,48,179089,0.009080506617216762
2001,White,Less than H.S.,49,156686,0.008662590562365097
2001,White,Less than H.S.,50,165018,0.010354012066909953
2001,White,Less than H.S.,51,174935,0.011154301285614378
2001,White,Less than H.S.,52,173148,0.011357062122988945
2001,White,Less than H.S.,53,192165,0.011468188969884196
2001,White,Less than H.S.,54,192559,0.011290134654342879
2001,White,Less than H.S.,55,207774,0.011918647376530343
2001,White,Less than H.S.,56,194189,0.013248799435850075
2001,White,Less than H.S.,57,215493,0.013868309682642365
2001,White,Less than H.S.,58,217606,0.01481557927536629
2001,White,Less than H.S.,59,235838,0.016601763138159392
2001,White,Less than H.S.,60,242281,0.016777624186173404
2001,White,Less than H.S.,61,233525,0.01824836914352854
2001,White,Less than H.S.,62,233974,0.020842748581472993
2001,White,Less than H.S.,63,233397,0.01752011008686808
2001,White,Less than H.S.,64,232446,0.022692450922455518
2001,White,Less than H.S.,65,259239,0.021408257790263178
2001,White,Less than H.S.,66,262572,0.024270885447404335
2001,White,Less than H.S.,67,261996,0.02564485052090627
2001,White,Less than H.S.,68,257045,0.028485898707722775
2001,White,Less than H.S.,69,255823,0.030073040695709485
2001,White,Less than H.S.,70,280517,0.03111950800159511
2001,White,Less than H.S.,71,285477,0.03611499849232626
2001,White,Less than H.S.,72,293284,0.037366253029818615
2001,White,Less than H.S.,73,316979,0.04421863554061365
2001,White,Less than H.S.,74,302737,0.04417739974639625
2001,White,Less than H.S.,75,315813,0.046582056912913096
2001,White,Less than H.S.,76,285124,0.05276664734223589
2001,White,Less than H.S.,77,278556,0.053339701165360826
2001,White,Less than H.S.,78,244310,0.055467058308967025
2001,White,Less than H.S.,79,261935,0.07184124545757488
2001,White,Less than H.S.,80,263447,0.06843561904195024
2001,White,Less than H.S.,81,246674,0.08043377155641993
2001,White,Less than H.S.,82,213048,0.08814889280339229
2001,White,Less than H.S.,83,197385,0.0973200078602169
2001,White,Less than H.S.,84,177974,0.10416499915426793
2001,White,H.S.,30,748248,0.0014390632943302388
2001,White,H.S.,31,713151,0.0015163608930851599
2001,White,H.S.,32,689272,0.00170509985034028
2001,White,H.S.,33,738025,0.0018304233075473653
2001,White,H.S.,34,782011,0.0019493538437189324
2001,White,H.S.,35,841257,0.0019310561151549184
2001,White,H.S.,36,914624,0.002272917975835153
2001,White,H.S.,37,907417,0.002438510830564337
2001,White,H.S.,38,1002698,0.0021887873600018952
2001,White,H.S.,39,992001,0.00257163002977267
2001,White,H.S.,40,1079885,0.0028915543949718744
2001,White,H.S.,41,1036781,0.0031228461797118646
2001,White,H.S.,42,1047383,0.0032402915632292984
2001,White,H.S.,43,1052495,0.003347575788859412
2001,White,H.S.,44,1015716,0.0037721441384153103
2001,White,H.S.,45,1054569,0.003761361927012226
2001,White,H.S.,46,962601,0.004534285545288006
2001,White,H.S.,47,951901,0.004849634527884798
2001,White,H.S.,48,868438,0.005441665106328461
2001,White,H.S.,49,851604,0.005342733927026347
2001,White,H.S.,50,855811,0.0064339472259795066
2001,White,H.S.,51,771196,0.006126406934937343
2001,White,H.S.,52,787130,0.006724941109816433
2001,White,H.S.,53,812173,0.00715456112300353
2001,White,H.S.,54,858160,0.00800131595678136
2001,White,H.S.,55,733912,0.008832900596717
2001,White,H.S.,56,690835,0.009056663627168312
2001,White,H.S.,57,727626,0.00946044390547459
2001,White,H.S.,58,760520,0.01055739260066207
2001,White,H.S.,59,727832,0.011334847152676481
2001,White,H.S.,60,691169,0.01248150043413217
2001,White,H.S.,61,626922,0.013316588251370241
2001,White,H.S.,62,674339,0.015604193174846515
2001,White,H.S.,63,668133,0.01673584705478111
2001,White,H.S.,64,605553,0.016235213401878296
2001,White,H.S.,65,610443,0.016029279868858035
2001,White,H.S.,66,606109,0.020066920924614356
2001,White,H.S.,67,544388,0.022194947864692102
2001,White,H.S.,68,544913,0.022806396972122975
2001,White,H.S.,69,542051,0.02769408732279609
2001,White,H.S.,70,567191,0.027152817828874826
2001,White,H.S.,71,552467,0.030318758125866433
2001,White,H.S.,72,551490,0.03121335013807092
2001,White,H.S.,73,552616,0.035548125722793936
2001,White,H.S.,74,525992,0.03398708375854797
2001,White,H.S.,75,533467,0.0420937781768069
2001,White,H.S.,76,513643,0.04468451308970993
2001,White,H.S.,77,488731,0.05328542100533097
2001,White,H.S.,78,447656,0.05366248316027075
2001,White,H.S.,79,454276,0.056918691952654275
